CHAMPIONNAT;DATE;HEURE;DOM;scoreD;scoreE;EXT
r1;2023-09-24;15h30;SA MONEIN;;;RAS ESCOU-LASSEUBE
r1;2023-10-01;15h30;ES ARUDYENNE;;;SA MONEIN
r1;2023-10-08;15h30;SA MONEIN;;;HABAS RUGBY
r1;2023-10-15;15h30;BENEJACQ OLYMPIQUE;;;SA MONEIN
r1;2023-11-05;15h30;SA MONEIN;;;CAPBRETON HOSSEGOR RUGBY
r1;2023-11-12;15h30;ES LEMBEYE;;;SA MONEIN
r1;2023-11-19;15h30;SA MONEIN;;;RC BAL
r1;2023-12-03;15h30;SA MONEIN;;;RC POUILLON LABATUT XV
r1;2023-12-10;15h30;BIDART UNION CLUB;;;SA MONEIN
r1;2023-12-17;15h30;RAS ESCOU-LASSEUBE;;;SA MONEIN
r1;2024-01-14;15h30;SA MONEIN;;;ES ARUDYENNE
r1;2024-01-21;15h30;HABAS RUGBY;;;SA MONEIN
r1;2024-01-28;15h30;SA MONEIN;;;BENEJACQ OLYMPIQUE
r1;2024-02-11;15h30;CAPBRETON HOSSEGOR RUGBY;;;SA MONEIN
r1;2024-02-18;15h30;SA MONEIN;;;ES LEMBEYE
r1;2024-03-03;15h30;RC BAL;;;SA MONEIN
r1;2024-03-10;15h30;RC POUILLON LABATUT XV;;;SA MONEIN
r1;2024-03-24;15h30;SA MONEIN;;;BIDART UNION CLUB
